Player,Bref_ID,Sref_Cbb_ID
Alaa Abdelnaby,abdelal01,alaa-abdelnaby-1
Zaid Abdul-Aziz,abdulza01,
Kareem Abdul-Jabbar,abdulka01,kareem-abdul-jabbar-1
Mahmoud Abdul-Rauf,abdulma02,mahmoud-abdul-rauf-1
Tariq Abdul-Wahad,abdulta01,
Shareef Abdur-Rahim,abdursh01,shareef-abdur-rahim-1
Tom Abernethy,abernto01,tom-abernethy-1
Forest Able,ablefo01,
John Abramovic,abramjo01,
Alex Abrines,abrinal01,
Alex Acker,ackeral01,alex-acker-1
Don Ackerman,ackerdo01,
Mark Acres,acresma01,mark-acres-1
Bud Acton,actonbu01,
Quincy Acy,acyqu01,quincy-acy-1
Alvan Adams,adamsal01,alvan-adams-1
Don Adams,adamsdo01,
George Adams,adamsge01,
Hassan Adams,adamsha01,hassan-adams-1
Jordan Adams,adamsjo01,jordan-adams-1
Michael Adams,adamsmi01,michael-adams-1
Steven Adams,adamsst01,steven-adams-1
Rafael Addison,addisra01,rafael-addison-1
Rick Adelman,adelmri01,
Jeff Adrien,adrieje01,jeff-adrien-1
Arron Afflalo,afflaar01,arron-afflalo-1
Maurice Ager,agerma01,maurice-ager-1
Mark Aguirre,aguirma01,mark-aguirre-1
Blake Ahearn,ahearbl01,blake-ahearn-1
Danny Ainge,aingeda01,danny-ainge-1
Matthew Aitch,aitchma01,
Alexis Ajinca,ajincal01,
Henry Akin,akinhe01,
Josh Akognon,akognjo01,josh-akognon-1
Solomon Alabi,alabiso01,solomon-alabi-1
Mark Alarie,alarima01,mark-alarie-1
Gary Alcorn,alcorga01,
Furkan Aldemir,aldemfu01,
Cole Aldrich,aldrico01,cole-aldrich-1
LaMarcus Aldridge,aldrila01,lamarcus-aldridge-1
Chuck Aleksinas,aleksch01,chuck-aleksinas-1
Cliff Alexander,alexacl01,cliff-alexander-1
Cory Alexander,alexaco01,cory-alexander-1
Courtney Alexander,alexaco02,courtney-alexander-1
Gary Alexander,alexaga01,
Joe Alexander,alexajo01,joe-alexander-1
Victor Alexander,alexavi01,victor-alexander-1
Steve Alford,alforst01,steve-alford-1
Bill Allen,allenbi01,
Bob Allen,allenbo01,
Jerome Allen,allenje01,jerome-allen-1
Lavoy Allen,allenla01,lavoy-allen-1
Lucius Allen,allenlu01,
Malik Allen,allenma01,malik-allen-1
Randy Allen,allenra01,randy-allen-1
Ray Allen,allenra02,ray-allen-1
Tony Allen,allento01,tony-allen-1
Willie Allen,allenwi01,
Odis Allison,allisod01,
Lance Allred,allrela01,lance-allred-1
Darrell Allums,allumda01,darrell-allums-1
Morris Almond,almonmo01,morris-almond-1
Derrick Alston,alstode01,derrick-alston-1
Rafer Alston,alstora01,rafer-alston-1
Peter Aluma,alumape01,peter-aluma-1
John Amaechi,amaecjo01,john-amaechi-1
Ashraf Amaya,amayaas01,ashraf-amaya-1
Al-Farouq Aminu,aminual01,al-farouq-aminu-1
Lou Amundson,amundlo01,louis-amundson-1
Bob Anderegg,anderbo01,
Chris Andersen,anderch01,
David Andersen,anderda03,
Alan Anderson,anderal01,alan-anderson-1
Andrew Anderson,anderan01,
Antonio Anderson,anderan02,antonio-anderson-1
Cliff Anderson,andercl01,
Dan Anderson,anderda01,
Dan Anderson,anderda02,
Derek Anderson,anderde01,derek-anderson-1
Dwight Anderson,anderdw01,dwight-anderson-1
Eric Anderson,anderer01,eric-anderson-1
Greg Anderson,andergr01,greg-anderson-1
J.J. Anderson,anderjj01,jj-anderson-1
James Anderson,anderja01,james-anderson-3
Jerome Anderson,anderje01,
Justin Anderson,anderju01,justin-anderson-1
Kenny Anderson,anderke01,kenny-anderson-1
Kim Anderson,anderki01,
Kyle Anderson,anderky01,kyle-anderson-3
Michael Anderson,andermi01,michael-anderson-1
Nick Anderson,anderni01,nick-anderson-1
Richard Anderson,anderri01,richard-anderson-1
Ron Anderson,anderro01,ron-anderson-1
Ryan Anderson,anderry01,ryan-anderson-1
Shandon Anderson,andersh01,shandon-anderson-1
Willie Anderson,anderwi01,willie-anderson-1
Wally Anderzunas,anderwa01,
Martynas Andriuskevicius,andrima01,
Don Anielak,anieldo01,
Michael Ansley,anslemi01,michael-ansley-1
Chris Anstey,anstech01,
Giannis Antetokounmpo,antetgi01,
Thanasis Antetokounmpo,antetth01,
Carmelo Anthony,anthoca01,carmelo-anthony-1
Greg Anthony,anthogr01,greg-anthony-1
Joel Anthony,anthojo01,joel-anthony-1
Pero Antic,anticpe01,
Keith Appling,applike01,keith-appling-1
Rafael Araujo,araujra01,rafael-araujo-1
Stacey Arceneaux,arcenst01,
Robert Archibald,archiro01,robert-archibald-1
Tiny Archibald,architi01,tiny-archibald-1
Jim Ard,ardji01,
Gilbert Arenas,arenagi01,gilbert-arenas-1
Trevor Ariza,arizatr01,trevor-ariza-1
Paul Arizin,arizipa01,paul-arizin-1
Joe Arlauckas,arlaujo01,joe-arlauckas-1
B.J. Armstrong,armstbj01,bj-armstrong-1
Bob Armstrong,armstbo01,
Brandon Armstrong,armstbr01,brandon-armstrong-1
Curly Armstrong,armstcu01,
Darrell Armstrong,armstda01,
Hilton Armstrong,armsthi01,hilton-armstrong-1
Tate Armstrong,armstta01,
Jesse Arnelle,arnelje01,
Jay Arnette,arnetja01,
Bob Arnzen,arnzebo01,
Carlos Arroyo,arroyca01,
Darrell Arthur,arthuda01,darrell-arthur-1
John Arthurs,arthujo01,
Omer Asik,asikom01,
Vincent Askew,askewvi01,vincent-askew-1
Keith Askins,askinke01,keith-askins-1
Don Asmonga,asmondo01,
Dick Atha,athadi01,
Chucky Atkins,atkinch01,chucky-atkins-1
Al Attles,attleal01,
Chet Aubuchon,aubucch01,
Stacey Augmon,augmost01,stacey-augmon-1
D.J. Augustin,augusdj01,dj-augustin-1
James Augustine,augusja01,james-augustine-1
Isaac Austin,austiis01,isaac-austin-1
Johnny Austin,austijo01,
Ken Austin,austike01,ken-austin-1
Anthony Avent,aventan01,anthony-avent-1
Bird Averitt,averibi01,
William Avery,averywi01,william-avery-1
Dennis Awtrey,awtrede01,dennis-awtrey-1
Gustavo Ayon,ayongu01,
Jeff Ayres,pendeje02,jeff-pendergraph-1
Kelenna Azubuike,azubuke01,kelenna-azubuike-1
Chris Babb,babbch01,chris-babb-1
Luke Babbitt,babbilu01,luke-babbitt-1
Milos Babic,babicmi01,milos-babic-1
Johnny Bach,bachjo01,
Henry Bacon,baconhe01,
Jim Baechtold,baechji01,
Dalibor Bagaric,bagarda01,
John Bagley,baglejo01,john-bagley-1
Carl Bailey,baileca01,
Gus Bailey,bailegu01,gus-bailey-1
James Bailey,baileja01,james-bailey-1
Thurl Bailey,baileth01,thurl-bailey-1
Toby Bailey,baileto01,toby-bailey-1
Cameron Bairstow,bairsca01,cameron-bairstow-1
Jimmie Baker,bakerji01,
LaMark Baker,bakerla01,lamark-baker-1
Maurice Baker,bakerma01,maurice-baker-1
Norm Baker,bakerno01,
Ron Baker,bakerro01,ron-baker-1
Vin Baker,bakervi01,vin-baker-1
Wade Baldwin,baldwwa01,wade-baldwin-1
Renaldo Balkman,balkmre01,renaldo-balkman-1
Cedric Ball,ballce01,cedric-ball-1
Greg Ballard,ballagr01,greg-ballard-1
Herschel Baltimore,baltihe01,
Gene Banks,banksge01,gene-banks-1
Marcus Banks,banksma01,marcus-banks-1
Walker Banks,bankswa01,
Ken Bannister,bannike01,
Mike Bantom,bantomi01,mike-bantom-1
John Barber,barbejo01,
Leandro Barbosa,barbole01,
Steve Bardo,bardost01,steve-bardo-1
J.J. Barea,bareajo01,jose-barea-1
Andrea Bargnani,bargnan01,
Cliff Barker,barkecl01,
Tom Barker,barketo01,
Charles Barkley,barklch01,charles-barkley-1
Erick Barkley,barkler01,erick-barkley-1
Don Barksdale,barksdo01,
Harrison Barnes,barneha02,harrison-barnes-1
Harry Barnes,barneha01,
Jim Barnes,barneji01,
Marvin Barnes,barnema01,marvin-barnes-1
Matt Barnes,barnema02,matt-barnes-1
Dick Barnett,barnedi01,
Jim Barnett,barneji02,
Nathaniel Barnett,barnena01,
John Barnhill,barnhjo01,
Norton Barnhill,barnhno01,
Leo Barnhorst,barnhle01,
John Barr,barrjo01,
Mike Barr,barrmi01,
Moe Barr,barrmo01,
Andre Barrett,barrean01,andre-barrett-1
Ernie Barrett,barreer01,
Mike Barrett,barremi01,
Earl Barron,barroea01,earl-barron-1
Dana Barros,barroda01,dana-barros-1
Brent Barry,barrybr01,brent-barry-1
Drew Barry,barrydr01,drew-barry-1
Jon Barry,barryjo01,jon-barry-1
Rick Barry,barryri01,rick-barry-1
Ed Bartels,barteed01,
Vic Bartolome,bartovi01,
Will Barton,bartowi01,will-barton-1
Eddie Basden,basdeed01,eddie-basden-1
Jerry Baskerville,baskeje01,
Brandon Bass,bassbr01,brandon-bass-1
Tim Bassett,basseti01,tim-bassett-1
Maceo Baston,bastoma01,maceo-baston-1
Mengke Bateer,bateeme01,
Billy Ray Bates,batesbi01,
Esteban Batista,batises01,
Mike Batiste,batismi01,mike-batiste-1
Tony Battie,battito01,tony-battie-1
Shane Battier,battish01,shane-battier-1
John Battle,battljo01,john-battle-1
Kenny Battle,battlke01,kenny-battle-1
Dave Batton,battoda01,dave-batton-1
Lloyd Batts,battsll01,
Nicolas Batum,batumni01,
Johnny Baum,baumjo01,
Frankie Baumholtz,baumhfr01,
Lonny Baxter,baxtelo01,lonny-baxter-1
Jerryd Bayless,bayleje01,jerryd-bayless-1
Elgin Baylor,bayloel01,elgin-baylor-1
Howard Bayne,bayneho01,
Aron Baynes,baynear01,aron-baynes-1
Sergei Bazarevich,bazarse01,
Kent Bazemore,bazemke01,kent-bazemore-1
Ed Beach,beached01,
